question,answer,text
What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang.","<s>[INST] What are the three European wizarding schools that participate in the Triwizard Tournament? [/INST] Hogwarts, Beauxbatons, and Durmstrang. </s>"
When was Hogwarts founded?,10th century,<s>[INST] When was Hogwarts founded? [/INST] 10th century </s>
What is a Wronski Feint?,Pretending to dive for the Snitch,<s>[INST] What is a Wronski Feint? [/INST] Pretending to dive for the Snitch </s>
You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,<s>[INST] You wouldn't know anything about this. Name a method to make your broom go faster. [/INST] Using polish </s>
Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.,<s>[INST] Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate? [/INST] 14 sickles. </s>
What charm creates water?,Aguamenti,<s>[INST] What charm creates water? [/INST] Aguamenti </s>
Which of these is an ingredient in Befuddlement Draughts?,Sneezewort,<s>[INST] Which of these is an ingredient in Befuddlement Draughts? [/INST] Sneezewort </s>
What magical creature runs guards wand wood trees?,Bowtruckles,<s>[INST] What magical creature runs guards wand wood trees? [/INST] Bowtruckles </s>
Name all seven Weasley children.,"Bill, Charlie, Percy, Fred, George, Ron, and Ginny.","<s>[INST] Name all seven Weasley children. [/INST] Bill, Charlie, Percy, Fred, George, Ron, and Ginny. </s>"
Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue,<s>[INST] Why did student initially think Harry was the Heir of Slytherin? [/INST] He can speak Parseltongue </s>
Vipera Evanesca is used to vaporize what kind of creature?,Snake,<s>[INST] Vipera Evanesca is used to vaporize what kind of creature? [/INST] Snake </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
How old was Luna when she lost her mom?,Nine,<s>[INST] How old was Luna when she lost her mom? [/INST] Nine </s>
Who or what determines the House for each first year student?,The Sorting Hat,<s>[INST] Who or what determines the House for each first year student? [/INST] The Sorting Hat </s>
What is the root language of any spells?,Latin,<s>[INST] What is the root language of any spells? [/INST] Latin </s>
What did Regulus Black become after he died?,Inferi,<s>[INST] What did Regulus Black become after he died? [/INST] Inferi </s>
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.,<s>[INST] Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance? [/INST] Boris the Bewildered. </s>
"Who is known as the ""Chosen One""?",Harry Potter,"<s>[INST] Who is known as the ""Chosen One""? [/INST] Harry Potter </s>"
Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger,<s>[INST] Who destroyed the Horcrux in Helga Hufflepuff's Cup? [/INST] Hermione Granger </s>
What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.,<s>[INST] What is Filch the Hogwarts caretaker's greatest secret? [/INST] He's a Squib. </s>
What is the name of America's magical government?,MACUSA,<s>[INST] What is the name of America's magical government? [/INST] MACUSA </s>
What year was the first match?,1050 AD,<s>[INST] What year was the first match? [/INST] 1050 AD </s>
